"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"SLA","Linear",-0.160116571717217,0.103086931497492,0.126436518272693,0.0106269154455685
"deltaC13","Linear",0.0763674095327287,0.0900023314895855,0.400046048707213,0.00810041967356123
"FDsnow","Linear",-0.280524291405615,0.102272093597715,0.00833401929004965,0.0104595811288598
"height","Linear",0.0434139539497148,0.0988748702319108,0.662422908307976,0.0097762399633772
"SLA²","Quadratic",-0.0118567889850557,0.192626616385609,0.951210617410946,0.0371050133401686
"deltaC13²","Quadratic",-0.326567112789641,0.147886819498291,0.032741280089733,0.0218705113813201
"FDsnow²","Quadratic",0.288612875715204,0.250518401054682,0.255811009265873,0.0627594692669945
"height²","Quadratic",-0.386993409386159,0.186210440051138,0.0438334897421209,0.0346743279840384
"SLA × deltaC13","Correlational",-0.0555686798899385,0.124124028732819,0.656679973212141,0.0154067745088657
"SLA × FDsnow","Correlational",-0.0217645341405151,0.109941142464156,0.844027264897245,0.012087054806324
"SLA × height","Correlational",0.362834513206186,0.111580467252191,0.00226453841209758,0.0124502006722173
"deltaC13 × FDsnow","Correlational",0.269017618255547,0.1035390023982,0.0128691565026352,0.0107203250176144
"deltaC13 × height","Correlational",0.0477356167768272,0.111939051625481,0.671962976755796,0.0125303512788121
"FDsnow × height","Correlational",-0.119648489345031,0.159734014382089,0.458002920741552,0.0255149553506175
