"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.0173722666880668,0.0124821046622634,0.16379847524482,0.000155802936799698,"Crescent Pond"
"noseangle","Linear",0.0106361678408136,0.0126430989743751,0.389702056455209,0.000159847951675846,"Crescent Pond"
"pmx²","Quadratic",-0.0461721280540754,0.0234191115142966,0.0269107087686813,0.000548454784119059,"Crescent Pond"
"noseangle²","Quadratic",0.0214403533139757,0.015704066458269,0.243758237819536,0.000246617703325729,"Crescent Pond"
"pmx × noseangle","Correlational",0.00908049295881005,0.0156787602924448,0.717586362819828,0.000245823524307944,"Crescent Pond"
"pmx","Linear",-0.00988749326276995,0.013980737179452,0.463568322310124,0.000195461012080911,"Little Lake"
"noseangle","Linear",0.0129667682330164,0.0131384867629355,0.340733720031736,0.00017261983441983,"Little Lake"
"pmx²","Quadratic",-0.013579087454649,0.0257972055324955,0.579956802031252,0.000665495813285818,"Little Lake"
"noseangle²","Quadratic",-0.00298161441711071,0.0224333807826657,0.858059016906657,0.000503256573340073,"Little Lake"
"pmx × noseangle","Correlational",-0.00897522249769591,0.0183541689590456,0.66073197063964,0.000336875518177193,"Little Lake"
